Reach ID,Date,NO3-N concentration (mg/l),NO3-N  loading (kg/d)
2,2018-05,1210.61,0.015
2,2018-06,1223.672,0.013
2,2018-07,1368.674,0.007
2,2018-08,1.138,0.179
2,2018-09,2.67,0.0
2,2018-10,1.039,1.443
2,2018-11,4.234,14.752
2,2018-12,9.036,0.131
2,2019-01,4.962,0.579
2,2019-02,0.0,0.0
2,2019-03,0.0,0.0
2,2019-04,8.106,0.174
2,2019-05,1.041,4.25
2,2019-06,3.578,3.688
2,2019-07,71.699,0.001
2,2019-08,10.685,0.01
2,2019-09,2.5,0.203
2,2019-10,2.629,0.003
2,2019-11,3.511,0.612
2,2019-12,8.894,3.301
2,2020-01,26.181,0.075
2,2020-02,0.0,0.0
2,2020-03,0.0,0.0
2,2020-04,42.44,0.156
2,2020-05,4.383,0.08
2,2020-06,26.558,0.018
2,2020-07,32.268,0.013
2,2020-08,2.538,0.177
2,2020-09,5.114,0.0
2,2020-10,1.431,0.121
2,2020-11,2.177,0.043
2,2020-12,6.375,0.204
2,2021-01,12.521,0.156
2,2021-02,0.0,0.0
2,2021-03,7.667,0.024
2,2021-04,19.595,0.009
2,2021-05,4.305,0.02
2,2021-06,0.0,0.0
2,2021-07,1.964,0.001
2,2021-08,2.46,0.023
2,2021-09,1.209,0.019
2,2021-10,5.36,0.004
2,2021-11,6.541,0.023
2,2021-12,3.915,0.053
2,2022-01,11.762,0.11
2,2022-02,0.0,0.0
2,2022-03,6.058,0.047
2,2022-04,14.967,0.223
2,2022-05,15.02,4.678
2,2022-06,1.499,0.089
3,2016-01,67.193,0.065
3,2016-02,84.346,0.154
3,2016-03,26.511,0.157
3,2016-04,9.396,0.604
3,2016-05,4.21,1.111
3,2016-06,15.927,0.006
3,2016-07,6.93,1.122
3,2016-08,3.932,0.003
3,2016-09,9.381,0.003
3,2016-10,2.059,0.21
3,2016-11,8.568,0.024
3,2016-12,15.599,0.019
3,2017-01,9.296,0.008
3,2017-02,0.0,0.0
3,2017-03,2.607,2.003
3,2017-04,21.083,0.586
3,2017-05,5.062,2.2
3,2017-06,0.0,0.0
3,2017-07,10.498,0.27
3,2017-08,0.0,0.0
3,2017-09,10.496,0.006
3,2017-10,0.0,0.0
3,2017-11,11.139,0.077
3,2017-12,27.056,0.082
3,2018-01,0.0,0.0
3,2018-02,0.0,0.0
3,2018-03,5.464,3.185
3,2018-04,121.691,0.464
3,2018-05,0.0,0.0
3,2018-06,0.0,0.0
3,2018-07,3.425,0.002
3,2018-08,2.753,0.193
3,2018-09,0.004,0.0
3,2018-10,1.398,1.083
3,2018-11,1.178,2.052
3,2018-12,27.899,0.497
3,2019-01,13.61,0.846
3,2019-02,0.0,0.0
3,2019-03,0.0,0.0
3,2019-04,23.066,1.426
3,2019-05,1.575,2.809
3,2019-06,6.826,3.599
3,2019-07,0.0,0.0
3,2019-08,0.0,0.0
3,2019-09,6.682,0.682
3,2019-10,5.4,0.004
3,2019-11,1.677,0.153
3,2019-12,2.736,0.616
3,2020-01,42.195,0.099
3,2020-02,0.0,0.0
3,2020-03,0.0,0.0
3,2020-04,116.011,0.548
3,2020-05,18.946,0.382
3,2020-06,0.0,0.0
3,2020-07,8.258,0.007
3,2020-08,6.405,0.432
3,2020-09,77.005,0.048
3,2020-10,4.22,0.263
3,2020-11,7.985,0.167
3,2020-12,14.444,0.293
3,2021-01,38.422,0.311
3,2021-02,0.0,0.0
3,2021-03,65.315,0.315
3,2021-04,16.378,0.034
3,2021-05,40.089,0.123
3,2021-06,3.506,0.001
3,2021-07,16.497,0.01
3,2021-08,3.341,0.029
3,2021-09,5.651,0.099
3,2021-10,0.001,0.0
3,2021-11,21.786,0.052
3,2021-12,8.952,0.101
3,2022-01,27.909,0.262
3,2022-02,0.0,0.0
3,2022-03,3.2,0.01
3,2022-04,40.448,0.28
3,2022-05,7.441,1.524
3,2022-06,3.388,0.185
4,2016-01,1.746,0.001
4,2016-02,48.755,0.041
4,2016-03,16.825,0.038
4,2016-04,6.007,0.22
4,2016-05,3.818,0.51
4,2016-06,0.794,0.0
4,2016-07,8.556,0.559
4,2016-08,2.6,0.001
4,2016-09,11.089,0.001
4,2016-10,1.721,0.081
4,2016-11,14.287,0.017
4,2016-12,15.118,0.01
4,2017-01,2.72,0.001
4,2017-02,0.0,0.0
4,2017-03,2.701,1.181
4,2017-04,11.439,0.321
4,2017-05,4.942,1.199
4,2017-06,36.87,0.01
4,2017-07,6.737,0.077
4,2017-08,0.0,0.0
4,2017-09,11.378,0.004
4,2017-10,0.0,0.0
4,2017-11,11.96,0.025
4,2017-12,6.525,0.007
4,2018-01,0.0,0.0
4,2018-02,0.0,0.0
4,2018-03,7.282,2.151
4,2018-04,61.199,0.083
4,2018-05,27.287,0.01
4,2018-06,17.447,0.007
4,2018-07,1.802,0.0
4,2018-08,2.349,0.067
4,2018-09,0.017,0.0
4,2018-10,1.247,0.528
4,2018-11,1.338,1.311
4,2018-12,14.628,0.102
4,2019-01,4.837,0.24
4,2019-02,0.0,0.0
4,2019-03,0.0,0.0
4,2019-04,16.339,0.642
4,2019-05,1.145,1.421
4,2019-06,8.982,2.385
4,2019-07,28.748,0.01
4,2019-08,22.383,0.009
4,2019-09,12.107,0.494
4,2019-10,6.216,0.006
4,2019-11,1.599,0.079
4,2019-12,4.183,0.451
4,2020-01,22.99,0.024
4,2020-02,0.0,0.0
4,2020-03,0.0,0.0
4,2020-04,8.323,0.406
4,2020-05,10.486,0.074
4,2020-06,29.369,0.014
4,2020-07,8.367,0.002
4,2020-08,4.773,0.109
4,2020-09,25.857,0.024
4,2020-10,2.298,0.044
4,2020-11,3.863,0.03
4,2020-12,8.806,0.106
4,2021-01,17.114,0.068
4,2021-02,0.0,0.0
4,2021-03,39.059,0.063
4,2021-04,4.881,0.003
4,2021-05,13.31,0.013
4,2021-06,4.02,0.0
4,2021-07,1.736,0.0
4,2021-08,3.179,0.008
4,2021-09,5.08,0.039
4,2021-10,0.001,0.0
4,2021-11,5.068,0.005
4,2021-12,2.716,0.011
4,2022-01,17.831,0.055
4,2022-02,0.0,0.0
4,2022-03,5.96,0.008
4,2022-04,11.292,0.042
4,2022-05,5.744,0.569
4,2022-06,1.507,0.026
5,2016-01,461.414,0.018
5,2016-02,473.647,0.02
5,2016-03,398.737,0.018
5,2016-04,3.725,0.232
5,2016-05,2.623,0.613
5,2016-06,872.403,0.019
5,2016-07,4.1,0.178
5,2016-08,27.425,0.019
5,2016-09,1302.911,0.018
5,2016-10,0.961,0.06
5,2016-11,43.928,0.051
5,2016-12,508.222,0.02
5,2017-01,472.941,0.019
5,2017-02,0.0,0.0
5,2017-03,2.116,1.715
5,2017-04,5.324,0.119
5,2017-05,4.182,1.756
5,2017-06,399.215,0.021
5,2017-07,3.796,0.067
5,2017-08,0.0,0.0
5,2017-09,50.312,0.021
5,2017-10,0.0,0.0
5,2017-11,618.348,0.02
5,2017-12,663.126,0.021
5,2018-01,0.0,0.0
5,2018-02,0.0,0.0
5,2018-03,7.4,4.26
5,2018-04,78.767,0.04
5,2018-05,328.598,0.022
5,2018-06,346.17,0.023
5,2018-07,709.569,0.023
5,2018-08,1.402,0.073
5,2018-09,3673.463,0.023
5,2018-10,0.965,0.673
5,2018-11,1.873,3.354
5,2018-12,269.435,0.025
5,2019-01,4.541,0.268
5,2019-02,0.0,0.0
5,2019-03,0.0,0.0
5,2019-04,16.415,1.096
5,2019-05,0.933,0.749
5,2019-06,8.626,4.049
5,2019-07,638.5,0.026
5,2019-08,1322.988,0.025
5,2019-09,496.708,0.025
5,2019-10,56.69,0.026
5,2019-11,1.681,0.144
5,2019-12,5.469,0.827
5,2020-01,51.824,0.035
5,2020-02,0.0,0.0
5,2020-03,0.0,0.0
5,2020-04,21.776,0.032
5,2020-05,46.559,0.041
5,2020-06,381.57,0.027
5,2020-07,129.921,0.027
5,2020-08,41.46,0.033
5,2020-09,70.578,0.03
5,2020-10,463.082,0.03
5,2020-11,391.659,0.028
5,2020-12,7.793,0.097
5,2021-01,7.667,0.044
5,2021-02,0.0,0.0
5,2021-03,289.259,0.028
5,2021-04,315.557,0.028
5,2021-05,10.571,0.017
5,2021-06,1753.924,0.027
5,2021-07,3253.87,0.027
5,2021-08,16312.28,0.027
5,2021-09,3.775,0.019
5,2021-10,4508.285,0.027
5,2021-11,27.529,0.029
5,2021-12,77.242,0.029
5,2022-01,275.097,0.029
5,2022-02,0.0,0.0
5,2022-03,0.0,0.0
5,2022-04,261.66,0.029
5,2022-05,1.657,0.221
5,2022-06,639.102,0.028
6,2016-01,418.052,0.019
