Table Name,Table Alias,Column Name,Column Alias,"Note: This is a weather generator parameter table, and might not be used in the current IMWEBs model. Can Zhiqiang have a check of the code? Remove this table from HydroClimate.db3 if it was not used."
JEN_WGN_05,Station 5,AMP_R,Amplifier ,
JEN_WGN_05,Station 5,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_05,Station 5,TMPSTDMX,STD of Max temperature,
JEN_WGN_05,Station 5,PCPDAYMM,Mean daily rainfall,
JEN_WGN_05,Station 5,PCPMONMM,Mean monthly rainfall,
JEN_WGN_05,Station 5,PR_W1,Probability of wet day after dry day,
JEN_WGN_05,Station 5,PR_W3,Probability of wet day,
JEN_WGN_05,Station 5,PCPSKW,PCP skewnes,
JEN_WGN_05,Station 5,WNDAV,Average wind speed,
JEN_WGN_05,Station 5,WNDDIR,Wind direction,
JEN_WGN_05,Station 5,PR_W2,Probability of wet day after wet day,
JEN_WGN_05,Station 5,TMPMN,Minimum temperature,
JEN_WGN_05,Station 5,PCF,Path coefficient factor,
JEN_WGN_05,Station 5,TMPMX,Maximum temperature,
JEN_WGN_05,Station 5,WNDDIRSTD,STD of wind speed,
JEN_WGN_05,Station 5,PCPDAYS,Precipitation days,
JEN_WGN_05,Station 5,SOLARAV,Average solar radiation,
JEN_WGN_05,Station 5,DEWPT,Dew point temperature,
JEN_WGN_05,Station 5,TMPSTDMN,STD of Min temperature,
JEN_WGN_05,Station 5,PCPSTD,STD of precipitation,
JEN_WGN_06,Station 6,Month,Month,
JEN_WGN_06,Station 6,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_06,Station 6,AMP_R,Amplifier ,
JEN_WGN_06,Station 6,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_06,Station 6,TMPSTDMX,STD of Max temperature,
JEN_WGN_06,Station 6,PCPDAYMM,Mean daily rainfall,
JEN_WGN_06,Station 6,PCPMONMM,Mean monthly rainfall,
JEN_WGN_06,Station 6,PR_W1,Probability of wet day after dry day,
JEN_WGN_06,Station 6,PR_W3,Probability of wet day,
JEN_WGN_06,Station 6,PCPSKW,PCP skewnes,
JEN_WGN_06,Station 6,WNDAV,Average wind speed,
JEN_WGN_06,Station 6,WNDDIR,Wind direction,
JEN_WGN_06,Station 6,PR_W2,Probability of wet day after wet day,
JEN_WGN_06,Station 6,TMPMN,Minimum temperature,
JEN_WGN_06,Station 6,PCF,Path coefficient factor,
JEN_WGN_06,Station 6,TMPMX,Maximum temperature,
JEN_WGN_06,Station 6,WNDDIRSTD,STD of wind speed,
JEN_WGN_06,Station 6,PCPDAYS,Precipitation days,
JEN_WGN_06,Station 6,SOLARAV,Average solar radiation,
JEN_WGN_06,Station 6,DEWPT,Dew point temperature,
JEN_WGN_06,Station 6,TMPSTDMN,STD of Min temperature,
JEN_WGN_06,Station 6,PCPSTD,STD of precipitation,
JEN_WGN_07,Station 7,Month,Month,
JEN_WGN_07,Station 7,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_07,Station 7,AMP_R,Amplifier ,
JEN_WGN_07,Station 7,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_07,Station 7,TMPSTDMX,STD of Max temperature,
JEN_WGN_07,Station 7,PCPDAYMM,Mean daily rainfall,
JEN_WGN_07,Station 7,PCPMONMM,Mean monthly rainfall,
JEN_WGN_07,Station 7,PR_W1,Probability of wet day after dry day,
JEN_WGN_07,Station 7,PR_W3,Probability of wet day,
JEN_WGN_07,Station 7,PCPSKW,PCP skewnes,
JEN_WGN_07,Station 7,WNDAV,Average wind speed,
JEN_WGN_07,Station 7,WNDDIR,Wind direction,
JEN_WGN_07,Station 7,PR_W2,Probability of wet day after wet day,
JEN_WGN_07,Station 7,TMPMN,Minimum temperature,
JEN_WGN_07,Station 7,PCF,Path coefficient factor,
JEN_WGN_07,Station 7,TMPMX,Maximum temperature,
JEN_WGN_07,Station 7,WNDDIRSTD,STD of wind speed,
JEN_WGN_07,Station 7,PCPDAYS,Precipitation days,
JEN_WGN_07,Station 7,SOLARAV,Average solar radiation,
JEN_WGN_07,Station 7,DEWPT,Dew point temperature,
JEN_WGN_07,Station 7,TMPSTDMN,STD of Min temperature,
JEN_WGN_07,Station 7,PCPSTD,STD of precipitation,
JEN_WGN_08,Station 8,Month,Month,
JEN_WGN_08,Station 8,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_08,Station 8,AMP_R,Amplifier ,
JEN_WGN_08,Station 8,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_08,Station 8,TMPSTDMX,STD of Max temperature,
JEN_WGN_08,Station 8,PCPDAYMM,Mean daily rainfall,
JEN_WGN_08,Station 8,PCPMONMM,Mean monthly rainfall,
JEN_WGN_08,Station 8,PR_W1,Probability of wet day after dry day,
JEN_WGN_08,Station 8,PR_W3,Probability of wet day,
JEN_WGN_08,Station 8,PCPSKW,PCP skewnes,
JEN_WGN_08,Station 8,WNDAV,Average wind speed,
JEN_WGN_08,Station 8,WNDDIR,Wind direction,
JEN_WGN_08,Station 8,PR_W2,Probability of wet day after wet day,
JEN_WGN_08,Station 8,TMPMN,Minimum temperature,
JEN_WGN_08,Station 8,PCF,Path coefficient factor,
JEN_WGN_08,Station 8,TMPMX,Maximum temperature,
JEN_WGN_08,Station 8,WNDDIRSTD,STD of wind speed,
JEN_WGN_08,Station 8,PCPDAYS,Precipitation days,
JEN_WGN_08,Station 8,SOLARAV,Average solar radiation,
JEN_WGN_08,Station 8,DEWPT,Dew point temperature,
JEN_WGN_08,Station 8,TMPSTDMN,STD of Min temperature,
JEN_WGN_08,Station 8,PCPSTD,STD of precipitation,
JEN_WGN_09,Station 9,Month,Month,
JEN_WGN_09,Station 9,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_09,Station 9,AMP_R,Amplifier ,
JEN_WGN_09,Station 9,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_09,Station 9,TMPSTDMX,STD of Max temperature,
JEN_WGN_09,Station 9,PCPDAYMM,Mean daily rainfall,
JEN_WGN_09,Station 9,PCPMONMM,Mean monthly rainfall,
JEN_WGN_09,Station 9,PR_W1,Probability of wet day after dry day,
JEN_WGN_09,Station 9,PR_W3,Probability of wet day,
JEN_WGN_09,Station 9,PCPSKW,PCP skewnes,
JEN_WGN_09,Station 9,WNDAV,Average wind speed,
JEN_WGN_09,Station 9,WNDDIR,Wind direction,
JEN_WGN_09,Station 9,PR_W2,Probability of wet day after wet day,
JEN_WGN_09,Station 9,TMPMN,Minimum temperature,
JEN_WGN_09,Station 9,PCF,Path coefficient factor,
JEN_WGN_09,Station 9,TMPMX,Maximum temperature,
JEN_WGN_09,Station 9,WNDDIRSTD,STD of wind speed,
JEN_WGN_09,Station 9,PCPDAYS,Precipitation days,
JEN_WGN_09,Station 9,SOLARAV,Average solar radiation,
JEN_WGN_09,Station 9,DEWPT,Dew point temperature,
JEN_WGN_09,Station 9,TMPSTDMN,STD of Min temperature,
JEN_WGN_09,Station 9,PCPSTD,STD of precipitation,
JEN_WGN_10,Station 10,Month,Month,
JEN_WGN_10,Station 10,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_10,Station 10,AMP_R,Amplifier ,
JEN_WGN_10,Station 10,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_10,Station 10,TMPSTDMX,STD of Max temperature,
JEN_WGN_10,Station 10,PCPDAYMM,Mean daily rainfall,
JEN_WGN_10,Station 10,PCPMONMM,Mean monthly rainfall,
JEN_WGN_10,Station 10,PR_W1,Probability of wet day after dry day,
JEN_WGN_10,Station 10,PR_W3,Probability of wet day,
JEN_WGN_10,Station 10,PCPSKW,PCP skewnes,
JEN_WGN_10,Station 10,WNDAV,Average wind speed,
JEN_WGN_10,Station 10,WNDDIR,Wind direction,
JEN_WGN_10,Station 10,PR_W2,Probability of wet day after wet day,
JEN_WGN_10,Station 10,TMPMN,Minimum temperature,
JEN_WGN_10,Station 10,PCF,Path coefficient factor,
JEN_WGN_10,Station 10,TMPMX,Maximum temperature,
JEN_WGN_10,Station 10,WNDDIRSTD,STD of wind speed,
JEN_WGN_10,Station 10,PCPDAYS,Precipitation days,
JEN_WGN_10,Station 10,SOLARAV,Average solar radiation,
JEN_WGN_10,Station 10,DEWPT,Dew point temperature,
JEN_WGN_10,Station 10,TMPSTDMN,STD of Min temperature,
JEN_WGN_10,Station 10,PCPSTD,STD of precipitation,
JEN_WGN_11,Station 11,Month,Month,
JEN_WGN_11,Station 11,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_11,Station 11,AMP_R,Amplifier ,
JEN_WGN_11,Station 11,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_11,Station 11,TMPSTDMX,STD of Max temperature,
JEN_WGN_11,Station 11,PCPDAYMM,Mean daily rainfall,
JEN_WGN_11,Station 11,PCPMONMM,Mean monthly rainfall,
JEN_WGN_11,Station 11,PR_W1,Probability of wet day after dry day,
JEN_WGN_11,Station 11,PR_W3,Probability of wet day,
JEN_WGN_11,Station 11,PCPSKW,PCP skewnes,
JEN_WGN_11,Station 11,WNDAV,Average wind speed,
JEN_WGN_11,Station 11,WNDDIR,Wind direction,
JEN_WGN_11,Station 11,PR_W2,Probability of wet day after wet day,
JEN_WGN_11,Station 11,TMPMN,Minimum temperature,
JEN_WGN_11,Station 11,PCF,Path coefficient factor,
JEN_WGN_11,Station 11,TMPMX,Maximum temperature,
JEN_WGN_11,Station 11,WNDDIRSTD,STD of wind speed,
JEN_WGN_11,Station 11,PCPDAYS,Precipitation days,
JEN_WGN_11,Station 11,SOLARAV,Average solar radiation,
JEN_WGN_11,Station 11,DEWPT,Dew point temperature,
JEN_WGN_11,Station 11,TMPSTDMN,STD of Min temperature,
JEN_WGN_11,Station 11,PCPSTD,STD of precipitation,
JEN_WGN_12,Station 12,Month,Month,
JEN_WGN_12,Station 12,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_12,Station 12,AMP_R,Amplifier ,
JEN_WGN_12,Station 12,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_12,Station 12,TMPSTDMX,STD of Max temperature,
JEN_WGN_12,Station 12,PCPDAYMM,Mean daily rainfall,
JEN_WGN_12,Station 12,PCPMONMM,Mean monthly rainfall,
JEN_WGN_12,Station 12,PR_W1,Probability of wet day after dry day,
JEN_WGN_12,Station 12,PR_W3,Probability of wet day,
JEN_WGN_12,Station 12,PCPSKW,PCP skewnes,
JEN_WGN_12,Station 12,WNDAV,Average wind speed,
JEN_WGN_12,Station 12,WNDDIR,Wind direction,
JEN_WGN_12,Station 12,PR_W2,Probability of wet day after wet day,
JEN_WGN_12,Station 12,TMPMN,Minimum temperature,
JEN_WGN_12,Station 12,PCF,Path coefficient factor,
JEN_WGN_12,Station 12,TMPMX,Maximum temperature,
JEN_WGN_12,Station 12,WNDDIRSTD,STD of wind speed,
JEN_WGN_12,Station 12,PCPDAYS,Precipitation days,
JEN_WGN_12,Station 12,SOLARAV,Average solar radiation,
JEN_WGN_12,Station 12,DEWPT,Dew point temperature,
JEN_WGN_12,Station 12,TMPSTDMN,STD of Min temperature,
JEN_WGN_12,Station 12,PCPSTD,STD of precipitation,
JEN_WGN_13,Station 13,Month,Month,
JEN_WGN_13,Station 13,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_13,Station 13,AMP_R,Amplifier ,
JEN_WGN_13,Station 13,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_13,Station 13,TMPSTDMX,STD of Max temperature,
JEN_WGN_13,Station 13,PCPDAYMM,Mean daily rainfall,
JEN_WGN_13,Station 13,PCPMONMM,Mean monthly rainfall,
JEN_WGN_13,Station 13,PR_W1,Probability of wet day after dry day,
JEN_WGN_13,Station 13,PR_W3,Probability of wet day,
JEN_WGN_13,Station 13,PCPSKW,PCP skewnes,
JEN_WGN_13,Station 13,WNDAV,Average wind speed,
JEN_WGN_13,Station 13,WNDDIR,Wind direction,
JEN_WGN_13,Station 13,PR_W2,Probability of wet day after wet day,
